,Iteration,Fitness,Time,State,pop_size,mutation_prob,Population Size,Mutation Rate
0,0,2604.0046688370826,0.0068542269999625205,"[44 16 21 42 19 26 41 23 48 29 38 18 35 36 11  8 28 12  2 40 43 24  0 30
  5 13 14 37 25  9 32 33 27 49  3 34 10 17  1  7 20 39  4 31 46 45 22  6
 15 47]",10,0.2,10,0.2
1,2,2218.971884248983,0.02818854399998827,"[14 29 16 33 46  4  8 30 26 43  7 22 19 31 38 28 47 17  1  0 12 18 10 13
 32 27  5 11  9 41 20 15 40 34 37 45  6 48 24 44 25 35 39 21 23  2  3 36
 42 49]",10,0.2,10,0.2
2,4,2218.971884248983,0.05001675500000147,"[14 29 16 33 46  4  8 30 26 43  7 22 19 31 38 28 47 17  1  0 12 18 10 13
 32 27  5 11  9 41 20 15 40 34 37 45  6 48 24 44 25 35 39 21 23  2  3 36
 42 49]",10,0.2,10,0.2
3,8,2212.244636405885,0.08799239799998304,"[14 29 16 33 46  4  8 30 26 43 47 22 19 31 38 28  7 17  1  0 12 18 10 13
 32 27  5 11  9 41 20 15 40 34 37 45  6 48 24 44 25 35 39 21 23  2  3 36
 42 49]",10,0.2,10,0.2
4,16,2053.091831345821,0.16642141699998092,"[14 29 34 48 33 46  4 24 44 26 36 43  7 22 19 38 47 40 37 17  9 30 41 13
 18 16  3 31 27 28  1  0 12 10 32  5 11 20 15 45  6  8 25 35 39 21 23  2
 42 49]",10,0.2,10,0.2
5,32,1912.4566044791618,0.3205493539999793,"[14 29 34 48 33 46  4 24 44 10 36 43 28 22 19 38 47 15  8 26 40 37 17  9
 30 41 13 18 16  3 31 27  7  1  0 12 32  5 11 20  6  2 45 25 35 39 21 23
 42 49]",10,0.2,10,0.2
6,64,1646.8761462669863,0.6127236229999653,"[19  7 34 48 14 33 46  4 24 44 21 36 43 28 22 40 47 15  8 26  3 37 17  9
 30  6 13 18 16 38 31 27 29 32  2  1  0 12 41  5 11 20 45 25 35 23 39 10
 42 49]",10,0.2,10,0.2
7,128,1446.0095864951138,1.2079192850000027,"[19  7 34 48 14 33 28 46  4 24 44  3 45 12 36 43 22 40 47 32  8 10 15 26
 37 17  9 30  6 13 18 16 31 27 29 38  5  2  1  0 20 11 41 25 35 23 21 42
 39 49]",10,0.2,10,0.2
8,256,1306.9765569191757,2.3741942629999926,"[19 42  3 48  5 34 14 33 46  4 28 44 22 12 36 43 11 40 47 32  8 10 15 26
 37 17  9 30  6 13 18 16 31 27 29 38 45  2  1  0 20 24 25 41 35 23 21  7
 39 49]",10,0.2,10,0.2
9,512,1117.5263634193627,4.842340447999959,"[19 42 30 34  5 48 14 16 46 40  4 28 44 22 12 33 20 36 43 11 18 32  8 10
  3 26 37 41 39  9 15  6 13 31 27  2 38 45 29  1  0 35 24 47 25 23 21 17
 49  7]",10,0.2,10,0.2
10,1024,1027.9454266739451,10.195141718999992,"[ 3 42 30 34  5  0 14 16 25 40 22 24 44  4 12 11 20 36 43 33 18 48 32  8
 10  6 26 37 41  7  9 15 19 13 31 27  2 38 45 29  1 35 28 46 47 23 21 17
 49 39]",10,0.2,10,0.2
11,2048,882.6763482387236,24.460570194000013,"[30 42  3  1  5 18 12 16 14 35 28 22 24 44  4 11 20 36 43 33  0 48 32  8
 26  6 10 37 41  7  9 19 15 31 13 27  2 29 45 38 34 40 25 47 46 23 21 17
 49 39]",10,0.2,10,0.2
12,0,2604.0046688370826,0.03831142400002818,"[44 16 21 42 19 26 41 23 48 29 38 18 35 36 11  8 28 12  2 40 43 24  0 30
  5 13 14 37 25  9 32 33 27 49  3 34 10 17  1  7 20 39  4 31 46 45 22  6
 15 47]",10,0.4,10,0.4
13,2,2218.971884248983,0.18671692200001644,"[14 29 16 33 46  4  8 30 26 43  7 22 19 31 38 28 47 17  1  0 12 18 10 13
 32 27  5 11  9 41 20 15 40 34 37 45  6 48 24 44 25 35 39 21 23  2  3 36
 42 49]",10,0.4,10,0.4
14,4,2218.971884248983,0.23048012900000003,"[14 29 16 33 46  4  8 30 26 43  7 22 19 31 38 28 47 17  1  0 12 18 10 13
 32 27  5 11  9 41 20 15 40 34 37 45  6 48 24 44 25 35 39 21 23  2  3 36
 42 49]",10,0.4,10,0.4
15,8,2206.746796253591,0.2878446280000162,"[14 29 16 33 46  4  8 30 26 43  7 22 27 31 38 28 47 17  1  0 12 18 10 13
 32 19  5 11  9 41 20 15 40 34 37 45  6 44  3 23 21 42 25 39 49 35 24 48
  2 36]",10,0.4,10,0.4
16,16,2083.1741155974537,0.41805230100004565,"[14 29 16 33 46  4  8 30 26 43  7 22 19 31 27 38 42 47 17  1  0 12 18 10
 13 44  5 11 25 41 24 15 40 34 37 45  6 32  3 23 21 28  9 39 49 35 20 48
  2 36]",10,0.4,10,0.4
17,32,1943.1612001175433,0.6908450070000072,"[14 45 16 33 46  4 47 30 26 43  7 22 29 34 10  8 19 31 13 38 42 17  1  0
 12 18 27 32  5 11 44 25 41 24 15 40 37  6  3 23 21 28  9 39 49 35 20 48
  2 36]",10,0.4,10,0.4
18,64,1660.0791303172161,1.1231894539999985,"[14 29 16 33 46  4 47 30 26 45  2 22  7 34 10  8 19 38 13 31  6 17  1  0
 12 18 27 32  5 48 44 25 41 24 15 40 37 42  3 23 21 28  9 39 49 35 20 11
 43 36]",10,0.4,10,0.4
19,128,1565.0378714225917,2.0630699080000454,"[14 48 16 33 35  4 47 30 26 45  2 22 15 34 10  8 19 38 13 31  6 17  7  0
 12 18 27 32  5 29 44 25 41 24  1 40 37 42  3 23 21 49  9 39 46 28 20 11
 43 36]",10,0.4,10,0.4
20,256,1413.4603211268684,4.583264086000042,"[29 48 16 14 25 35 22  4 47 30  7 45  2 33 12 17 37 10 26 19 38 13 31  6
 15  8  0 18 27  1  5 44 41 24 32 40 34 42  3 23 21 49  9 39 46 28 20 43
 36 11]",10,0.4,10,0.4
21,512,1266.8575260643534,10.927266107000037,"[16 48 29 14 25  4 47 35 22 41 30 32 45  2 33 12 17  3 10 26 19  8 13 31
  6 15 38  0 18 27  1  5 44 24 37 40 34 42  7 23 21 49  9 39 46 28 20 43
 36 11]",10,0.4,10,0.4
22,1024,1048.6383517904378,24.715295782,"[16 33  5 14 25 44 28 24 22 41 30 19 15  2 48 12 32 42  3 10 45  8 13 31
  6 26 27  0 29 38  1 18  4 35 47 40 34  7 17 23 21 46 49  9 39 37 20 36
 43 11]",10,0.4,10,0.4
23,2048,914.1397987398645,34.13782489500005,"[16 33  5 37 25 44 35 24 22 41  3 19 15  8 48 14 32 30 42 10 45 38 29 31
  6 26 27 13  2  0  1 18  4 28 47 40 34 39 17 23 21 46 49  9  7 36 20 43
 12 11]",10,0.4,10,0.4
24,0,2604.0046688370826,0.006336015999977462,"[44 16 21 42 19 26 41 23 48 29 38 18 35 36 11  8 28 12  2 40 43 24  0 30
  5 13 14 37 25  9 32 33 27 49  3 34 10 17  1  7 20 39  4 31 46 45 22  6
 15 47]",10,0.6,10,0.6
25,2,2215.445171391963,0.03109526899999082,"[29 16 33 46  4  8 30 26 43  7 14 22 19 31 38 28 47 17  1 10 12 18  0 13
 32 27  6 11  9 41 20 15 40 34 37 45  5 48 24 44 25 35 39 21 23  2  3 36
 42 49]",10,0.6,10,0.6
26,4,2197.17149032955,0.05466022199999543,"[29 16 33 46  4  8 30 26 43  7 14 22 19 31 38 28 47 17  1 10 13 18 11 44
 25 41 12  5 32 39 23 37 49 21 45 34 36  0  9 42 27  6  2 20 15 40 48 24
 35  3]",10,0.6,10,0.6
27,8,2138.960615341534,0.09309565999996039,"[14 29 16 33 26  4  8 17 46 43 30  7 10 19 31 38 28 22 47  1 12 18  0 13
 32 27  6 11  9 41 20 15 40 34 37 45  5 48 24 44 25 35 39 21 23  2  3 36
 42 49]",10,0.6,10,0.6
28,16,2013.2634756996306,0.16915348699996002,"[29 16 33 46  4 49 30 26 43  7 14 17 10 19 31 38 28 22 47  1 12 18  0 13
 32 27  6  8 34  9 41 15  5 11 20 40 37 45 48 24 44 25 35 39 21 23  2  3
 36 42]",10,0.6,10,0.6
29,32,1933.9159408480114,0.31309926199998017,"[29 16 33 46  4 49 30 26 43  7 14 17 39 19  2  8 15 36 41 10 42 31 38 44
 22 28 47 13  1 12 18 32  0 27  6 34  9  5 11 20 40 37 45 48 24 25 35 21
 23  3]",10,0.6,10,0.6
30,64,1833.57499836196,0.5979254789999686,"[29 16 33 46  4 49 30 38 43  7 14 17 26 10 19 31  1 12 47 28 22  5  0  9
 39  2 13 15  3 18  8 32 27  6 34 41 42 44 36 11 20 40 37 45 48 24 25 35
 21 23]",10,0.6,10,0.6
31,128,1588.014737219164,1.1491990659999942,"[45 16 33 46  4 49 17 30 14 48  8 42  7 19 38 26 10 29 31  1 18 32 43 47
 25 22 24 12 11  0  9 39  2 13 15  3 27  6 34 41 44 36 20 40 37  5 28 35
 21 23]",10,0.6,10,0.6
32,256,1481.1597518732528,2.232203121999987,"[45  1 33 16 32 28  4 49 17 46 35 30  3 19  9 42  7 48 38 26 10 29 31 18
 12 43 47 25 22 24 11  0  8 39 15  2 13 14 27  6 34 41 44 36 20  5 40 37
 21 23]",10,0.6,10,0.6
33,512,1270.5637078387144,4.415392163999968,"[ 5  1 33 16 47 28  4 49 17 46 23 30  3 39  9  7 42 48 38 26 10 29 31 18
 12 43 32 14 41 22 24 11  0  8 19 15  2 45 13 27  6 34 25 44 20 36 35 21
 40 37]",10,0.6,10,0.6
34,1024,1100.07576420496,9.011874395000007,"[ 5  1  0 44  4 28 47 49 17 46 23 30  7 39  9  3 42 48 38  2 26 29 31 18
 33 36 12 43 34 14 41 22 20 11 16  8 19 15 10  6 13 27 45 32 40 24 35 21
 25 37]",10,0.6,10,0.6
35,2048,916.0646600988368,20.79287492499998,"[ 0  1  5 44  4 28 21 46 23 17 39 49  7 30  9 42  8 45 38 29 26 27 31 18
 33 43 12 11 22 14 41 24 20 36 16 48  3 19 15 10  6 13  2 32 34 40 37 25
 47 35]",10,0.6,10,0.6
36,0,2604.0046688370826,0.006648350999967079,"[44 16 21 42 19 26 41 23 48 29 38 18 35 36 11  8 28 12  2 40 43 24  0 30
  5 13 14 37 25  9 32 33 27 49  3 34 10 17  1  7 20 39  4 31 46 45 22  6
 15 47]",10,0.8,10,0.8
37,2,2231.349727248762,0.03269756699995696,"[29 16 33 46  4  8 30 26 43  7 22 19 31 38 28 47 17  1 10 12 18  0 13 32
 27  5 11  9 41 20 15 40 34 37 45  6 48 24 44 25 35 39 21 23 14  2  3 36
 42 49]",10,0.8,10,0.8
38,4,2231.349727248762,0.055616011999973125,"[29 16 33 46  4  8 30 26 43  7 22 19 31 38 28 47 17  1 10 12 18  0 13 32
 27  5 11  9 41 20 15 40 34 37 45  6 48 24 44 25 35 39 21 23 14  2  3 36
 42 49]",10,0.8,10,0.8
39,8,2180.5315451556075,0.1043070489999991,"[14 44 16 33 46  4  8 30 26 43  7 22 19 31 38 28 47 17  1 10 12 18  0 13
 32 42 25 20 40 37 39 45 49 11 35 24 48 29 23 21  3  2 15  9  6 27  5 36
 41 34]",10,0.8,10,0.8
40,16,2146.810290328912,0.21557287099994937,"[14 29 16 33 46 44  4  8 30 26 43  7 22 19 31 38 28 47 17  1 10 12 18  0
 13 32 42 25 35 40 37 39 45 49 11 20 24 48 23 21  3  2 15  9  6 27  5 41
 34 36]",10,0.8,10,0.8
41,32,2106.079689821046,0.39428913199998306,"[14 44 39 33 47  4  8 30 26 43  7 22 19 31 38 29  1 18 28 46 17 10 12  0
 13 32 42 25 35 40 37 16 45 49 11 20 24 48 23 21  3  2 15  9  6 27  5 41
 34 36]",10,0.8,10,0.8
42,64,1736.7628451873934,0.7882916279999677,"[14 44 16 33 43 12 49  8 30 26 39 47  7 22 19 31 38 29  1 18  4 28 46 17
 37  0 13 32 42 25 35 40 10 45 11 20 24 48 23 21  9  3  2 15  6 27  5 41
 34 36]",10,0.8,10,0.8
43,128,1566.4584289913632,1.565169099000002,"[14 44 16 33 43 12 30 47 42 48 26 49 39  7 22 38 19 29 31 13  1 18  4 28
 46 17 37 45 32  8 34 25 35  2 10  0 11 20 24 40 23 21  9  3 15  6 27  5
 41 36]",10,0.8,10,0.8
44,256,1393.3968944209746,4.968719581999949,"[14 44 16 33 43 12 47 24 42  8 26 49 39  7 22 41 38 48 30 19 29 31 13  1
 18  4 28 35 46 21 25 37  2 45 32 34 10  0 11 20 40 23 17  9  3 15  6 27
  5 36]",10,0.8,10,0.8
45,512,1293.1919652628849,8.518666890999953,"[22 44 16 33 43 11 47 24 26  8 42 49 39  7 14 34 48 38 30 19 29  2 13 31
  1 18  4 28 35 46 21 41 25 37 45 32 10  0 12 20 40 23 17  9  3 15  6 27
  5 36]",10,0.8,10,0.8
46,1024,1076.2564589076626,14.518734397999992,"[41 40 16 12 11 43 36 24 35 44 22 14 30  8 42 49 39  7 37 45 38 29 10 19
 26  2 13 31  1 18  4 28 46 21 25 34 48  5  0 33 20 47 23 17  9  3 15  6
 27 32]",10,0.8,10,0.8
47,2048,942.6542252953486,25.46709020999998,"[40 14 16 43 12 20 36 24 22 35 44 41 30  3 42 49 39  7 37 45 38 29  8 10
 15  6 26  2 27 13 31  1  0  5  4 28 46 21 23 25 34 48 18 33 11 47 17  9
 19 32]",10,0.8,10,0.8
48,0,2604.0046688370826,0.007385370999998031,"[44 16 21 42 19 26 41 23 48 29 38 18 35 36 11  8 28 12  2 40 43 24  0 30
  5 13 14 37 25  9 32 33 27 49  3 34 10 17  1  7 20 39  4 31 46 45 22  6
 15 47]",10,1.0,10,1.0
49,2,2231.349727248762,0.03690083300000424,"[29 16 33 46  4  8 30 26 43  7 22 19 31 38 28 47 17  1 10 12 18  0 13 32
 27  5 11  9 41 20 15 40 34 37 45  6 48 24 44 25 35 39 21 23 14  2  3 36
 42 49]",10,1.0,10,1.0
50,4,2121.151887379682,0.07928872999997338,"[29 16 33 46  4  8 30 26 43  7 44 34 10  6 42 49 38  5  0 31 11 35 12 36
 13 20 25 22 48 27 23 17 21 37 45  2  9 19  3 14 28 47  1 18 32 41 15 40
 24 39]",10,1.0,10,1.0
51,8,2121.151887379682,0.154963108000004,"[29 16 33 46  4  8 30 26 43  7 44 34 10  6 42 49 38  5  0 31 11 35 12 36
 13 20 25 22 48 27 23 17 21 37 45  2  9 19  3 14 28 47  1 18 32 41 15 40
 24 39]",10,1.0,10,1.0
52,16,2091.814958323469,0.23899941100000888,"[44 34 10  6 42 29 16 33 46  4  8 30 26 43  7 49 38  5  0 31 11 35 12 36
 13 20 25 22 48 27 23 17 21 37 45  2  9 19  3 14 28 47  1 18 32 41 15 40
 24 39]",10,1.0,10,1.0
53,32,2091.814958323469,0.3901444470000115,"[44 34 10  6 42 29 16 33 46  4  8 30 26 43  7 49 38  5  0 31 11 35 12 36
 13 20 25 22 48 27 23 17 21 37 45  2  9 19  3 14 28 47  1 18 32 41 15 40
 24 39]",10,1.0,10,1.0
54,64,2091.814958323469,0.6814796979999755,"[44 34 10  6 42 29 16 33 46  4  8 30 26 43  7 49 38  5  0 31 11 35 12 36
 13 20 25 22 48 27 23 17 21 37 45  2  9 19  3 14 28 47  1 18 32 41 15 40
 24 39]",10,1.0,10,1.0
55,128,2091.814958323469,1.3850923520000151,"[44 34 10  6 42 29 16 33 46  4  8 30 26 43  7 49 38  5  0 31 11 35 12 36
 13 20 25 22 48 27 23 17 21 37 45  2  9 19  3 14 28 47  1 18 32 41 15 40
 24 39]",10,1.0,10,1.0
56,256,2091.814958323469,2.643781901000011,"[44 34 10  6 42 29 16 33 46  4  8 30 26 43  7 49 38  5  0 31 11 35 12 36
 13 20 25 22 48 27 23 17 21 37 45  2  9 19  3 14 28 47  1 18 32 41 15 40
 24 39]",10,1.0,10,1.0
57,512,2091.814958323469,4.960468977000005,"[44 34 10  6 42 29 16 33 46  4  8 30 26 43  7 49 38  5  0 31 11 35 12 36
 13 20 25 22 48 27 23 17 21 37 45  2  9 19  3 14 28 47  1 18 32 41 15 40
 24 39]",10,1.0,10,1.0
58,1024,2091.814958323469,9.549505613000008,"[44 34 10  6 42 29 16 33 46  4  8 30 26 43  7 49 38  5  0 31 11 35 12 36
 13 20 25 22 48 27 23 17 21 37 45  2  9 19  3 14 28 47  1 18 32 41 15 40
 24 39]",10,1.0,10,1.0
59,2048,2091.814958323469,9.549505613000008,"[44 34 10  6 42 29 16 33 46  4  8 30 26 43  7 49 38  5  0 31 11 35 12 36
 13 20 25 22 48 27 23 17 21 37 45  2  9 19  3 14 28 47  1 18 32 41 15 40
 24 39]",10,1.0,10,1.0
60,0,2604.0046688370826,0.029647044000000733,"[44 16 21 42 19 26 41 23 48 29 38 18 35 36 11  8 28 12  2 40 43 24  0 30
  5 13 14 37 25  9 32 33 27 49  3 34 10 17  1  7 20 39  4 31 46 45 22  6
 15 47]",50,0.2,50,0.2
61,2,2048.1854775073475,0.12466605299999856,"[13 27  2 11 33 28 39 44  9 38  7 26 25 23 16 14  4 20 46 21 30 49 29  1
 18  3 42 45 24  0 15 40 36 43 48  5  8 32 34 37 10  6 22 12 47 41 17 35
 31 19]",50,0.2,50,0.2
62,4,2048.1854775073475,0.21852216299998872,"[13 27  2 11 33 28 39 44  9 38  7 26 25 23 16 14  4 20 46 21 30 49 29  1
 18  3 42 45 24  0 15 40 36 43 48  5  8 32 34 37 10  6 22 12 47 41 17 35
 31 19]",50,0.2,50,0.2
63,8,1980.4512838999979,0.4112036960000296,"[43 22 38  8 13 27  2 11 33 28 17 44  9  7 26 25 23 35 20 18  1 39 16 14
  4 45 46 21 34 10  6 42 49 30  5  0 31 12 36 48 29 37 19  3 40 24 32 41
 15 47]",50,0.2,50,0.2
64,16,1803.8727533888,0.7892160609999905,"[43  6 29  8 13 27  2 11  3 22  1 31 26 14  5 47 46  7 35 44 34 10  0 42
 30 33 28 17 39  9 16 20 12 25  4 36 48 40 41 45 18 38 15 49 19 37 32 23
 21 24]",50,0.2,50,0.2
65,32,1652.034955610794,1.5037765779999859,"[43  0 38  8 13 27  2 11 33 28 17 44 22  5  3  1 31 26 14 47 46  7 35 34
 10  6 42 30  4 16 12 36 20 40 29 48 24 37 45 18 41 39  9 25 23 21 49 15
 19 32]",50,0.2,50,0.2
66,64,1580.1441932598666,3.6426216870000303,"[40  0 38 10 13 27  6  2 43 11 36 28 49 22 18 29 45  1 31 26 14  5  3 47
  7 46 35 44 48  8 42 30 17 39  9 16 20 12 25  4 33 34 41 37 15 19 32 23
 21 24]",50,0.2,50,0.2
67,128,1442.7692852015084,8.509369784,"[40  5  0 38  8 10 13 27  6 29 26 11 36 33 43 16 22 18 45  1 31  2 14 48
  7 46 35 44 25 42 30 17 39  9 49 20 12 47  4 34 28 41 24 37  3 15 32 19
 23 21]",50,0.2,50,0.2
68,256,1231.6792023988346,15.54343961799998,"[40 14  5  0 38  8 10 13 27  6 29 26 11 36 33 43 22 48 45 32 12 16 18  1
 31  2  7 46 21 44 25 42 49 17 23 39  9 30 20 47  4 28 35 24 15 19  3 34
 41 37]",50,0.2,50,0.2
69,512,1074.5477056938328,33.086546321000014,"[40 14  5  0 48  8 10 32 27 13  6 29 34 11 16 12 20 36 33 43 22 38 45 26
 18  1 31  2  7 46 21 44 25 37 42 49 17 23 39  9 30  3 19 15 47  4 28 35
 24 41]",50,0.2,50,0.2
70,1024,971.1474887157715,67.005753035,"[40 14  5  0 48  8 10 26 27 13  2 29 38 34 33 16 12 20 36 11 43 22 32 45
 18  1 31  6 42 46 21 44 25 37  7 49 17 23 39  9 30  3 19 15 47 35 28  4
 24 41]",50,0.2,50,0.2
71,2048,893.4434051332273,137.81237064699997,"[40 34  5  0 29  8 10 26 27 13 31  6  2 38 48 33 16 12 20 36 11 43 22 14
  1 18 45 32 47 46 21 44 25 37  7 49 17 23 39  9 30 19 15  3 42 35 28  4
 24 41]",50,0.2,50,0.2
72,0,2604.0046688370826,0.04993747599996823,"[44 16 21 42 19 26 41 23 48 29 38 18 35 36 11  8 28 12  2 40 43 24  0 30
  5 13 14 37 25  9 32 33 27 49  3 34 10 17  1  7 20 39  4 31 46 45 22  6
 15 47]",50,0.4,50,0.4
73,2,2048.1854775073475,0.1807735730000104,"[13 27  2 11 33 28 39 44  9 38  7 26 25 23 16 14  4 20 46 21 30 49 29  1
 18  3 42 45 24  0 15 40 36 43 48  5  8 32 34 37 10  6 22 12 47 41 17 35
 31 19]",50,0.4,50,0.4
74,4,2048.1854775073475,0.30849644800002807,"[13 27  2 11 33 28 39 44  9 38  7 26 25 23 16 14  4 20 46 21 30 49 29  1
 18  3 42 45 24  0 15 40 36 43 48  5  8 32 34 37 10  6 22 12 47 41 17 35
 31 19]",50,0.4,50,0.4
